project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648 old NH-207] [Bangalore Ring Road Pkg 1],National Highways Authority of India [NHAI],618520,1438.74,1051.89,99.2,24.0,60.0,8.0,Karnataka,National Highways Authority of India [NHAI],1
6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C Pkg-II,National Highways Authority of India [NHAI],618630,2355.56,868.81,76.12,30.0,40.0,10.0,Karnataka,National Highways Authority of India [NHAI],0
4 Lane with PS from Des. Ch 228.500 to Des. Ch. 273.400 of Belgaum-Hungund- Raichur Section of NH 748 A Package-6,National Highways Authority of India [NHAI],618649,1246.15,241.66,45.8,24.0,17.0,20.0,Karnataka,National Highways Authority of India [NHAI],0
4 Lane with PS from Des. Ch 89.900 to Des. Ch. 136.100 of Belgaum-Hungund- Raichur Section of NH-748A Package-3,National Highways Authority of India [NHAI],618650,1363.9,115.76,19.25,24.0,12.0,15.0,Karnataka,National Highways Authority of India [NHAI],0
4 Lane with PS from Des. Ch 43.800 to Des. Ch. 89.900 of Belgaum-Hungund- Raichur Section of NH-748A Package-2,National Highways Authority of India [NHAI],618651,1427.88,444.62,42.04,23.0,13.0,13.0,Karnataka,National Highways Authority of India [NHAI],0
4LPS Access Controlled Highway of Bellary Bypass Balance work from Ch. 254750 to Ch. 266837 and construction of 4LPS from Ch. 277.690 to Ch. 278.690 at D. Hirehal Village Balance work of NH 150A of Bellary Byrapura Section,National Highways Authority of India [NHAI],618697,626.01,97.26,35.5,23.0,20.0,6.0,Karnataka,National Highways Authority of India [NHAI],0
Challakere to Hariyur section from km 358.500 to km 414.205 of NH-150 A,National Highways Authority of India [NHAI],618698,1167.52,843.6,99.5,24.0,63.0,34.0,Karnataka,National Highways Authority of India [NHAI],1
4L of Addahole Near Gundya to Bantwal Cross section Pkg-02 from Design Km 270.270 to Design km 318.55 including flyover at Kalladka Town including approaches from Km. 311.57 to Km. 313.67 of NH-75 Old NH-48,National Highways Authority of India [NHAI],618702,1660.19,1358.81,94.21,24.0,53.0,11.0,Karnataka,National Highways Authority of India [NHAI],0
Bangalore-Nidagatta Pkg. I,National Highways Authority of India [NHAI],618706,3496.01,604.66,99.19,30.0,83.0,15.0,Karnataka,National Highways Authority of India [NHAI],1
Additional works under BM1 to ensure road safety under 6L of Bengaluru Mysuru Access control with close toll from Km.17.300 to Km.136.300 of NH-275,National Highways Authority of India [NHAI],618707,738.37,14.27,5.63,24.0,3.0,14.0,Karnataka,National Highways Authority of India [NHAI],0
4L of Left-Over Works of Hospet-Bellary -Karnataka/AP border from Km.280.080 Dec.Ch. to Km.375450Des.Ch. of NH-63 New-67,National Highways Authority of India [NHAI],618709,1340.15,897.67,91.45,24.0,35.0,2.0,Karnataka,National Highways Authority of India [NHAI],0
Belakeri Port to Kumta - Sirsi road from km 0.00 - km 4.265 of Belekeri Port Road Link Rd. and km 4.965 - km 60.00 of SH-69,National Highways Authority of India [NHAI],618799,456.79,436.72,91.65,24.0,64.0,33.0,Karnataka,National Highways Authority of India [NHAI],0
4L PS from near Hemmige Village Periyapatna - Hassan Road Jn. to near Hunsur - KR Nagar Jn section from Km. 144.900 to Km. 169.000 of NH-275 Pkg. III,National Highways Authority of India [NHAI],618870,883.62,61.05,20.1,24.0,12.0,26.0,Karnataka,National Highways Authority of India [NHAI],1
4L PS from Near Guddehosur to Start of Kushalnagara Bypass to near Hemmige Village Periyapatna - Hassan Road Jn from Km. 122.200 to Km. 144.900 of NH-275 Pkg. II,National Highways Authority of India [NHAI],618871,909.86,32.64,7.18,24.0,4.0,34.0,Karnataka,National Highways Authority of India [NHAI],0
4L PS from near Hunsur - KR Nagar Junction to near Yalachahalli village KR Nagara - Yelawala Road Junction fcrom Km 169.000 to Km 195.550 of NH-275 Pkg-IV,National Highways Authority of India [NHAI],618872,1062.76,93.08,14.85,24.0,12.0,26.0,Karnataka,National Highways Authority of India [NHAI],0
4L PS from near Yalachahalli village KR Nagara - Yelawala Road junction to Srirangapatna Bypass Near Paschima Vahini from km 195.550 to Km 214.535 of NH- 275 Pkg-V,National Highways Authority of India [NHAI],618873,1272.71,97.43,13.05,24.0,12.0,27.0,Karnataka,National Highways Authority of India [NHAI],0
4L of Bettadahalli- Shivamogga section from Km.170.415 to km. 226.750 of NH-206 Tumkur- Shivamogga Pkg-IV,National Highways Authority of India [NHAI],618887,2082.98,865.7,82.88,24.0,54.0,33.0,Karnataka,National Highways Authority of India [NHAI],1
4L of Sannur to Bikarnakatte section from Km 691.350 to Km 736.362 of NH-169 Karkala - Mangalore Package-III,National Highways Authority of India [NHAI],618896,1386.41,973.31,70.22,24.0,42.0,19.0,Karnataka,National Highways Authority of India [NHAI],1
Tumkur-Chitradurga,National Highways Authority of India [NHAI],619070,839.0,8.42,100.0,30.0,178.0,14.0,Karnataka,National Highways Authority of India [NHAI],0
Tumkur - Nelamangala 6L,National Highways Authority of India [NHAI],619071,2032.15,580.01,59.83,36.0,44.0,17.0,Karnataka,National Highways Authority of India [NHAI],0
Bangalore/TN border to Hoskote,National Highways Authority of India [NHAI],619072,1181.68,799.84,94.72,24.0,38.0,12.0,Karnataka,National Highways Authority of India [NHAI],1
4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],National Highways Authority of India [NHAI],619073,1317.74,1026.9,99.2,24.0,62.0,12.0,Karnataka,National Highways Authority of India [NHAI],1
Goa / Karnataka Km.93.700 to Kundapur Km.283.30,National Highways Authority of India [NHAI],619096,1644.92,329.44,97.8,29.0,145.0,20.0,Karnataka,National Highways Authority of India [NHAI],1
4 Lane with PS from Des. Ch 182.300 to Des. Ch. 228.500 of Belgaum-Hungund- Raichur Section of NH 748 A Package-5,National Highways Authority of India [NHAI],619106,1141.88,214.81,33.04,24.0,17.0,20.0,Karnataka,National Highways Authority of India [NHAI],0
4 Lane with PS from Des. Ch 136.100 to Des. Ch. 182.300 of Belgaum-Hungund- Raichur Section of NH-748A Package-4,National Highways Authority of India [NHAI],619107,1311.41,46.41,8.88,24.0,7.0,19.0,Karnataka,National Highways Authority of India [NHAI],0
4 Lane with PS from Des. Ch 0.000 to Des. Ch. 43.800 of Belgaum-Hungund-Raichur Section of NH-748A Package-1,National Highways Authority of India [NHAI],619108,1452.43,206.99,32.57,24.0,10.0,16.0,Karnataka,National Highways Authority of India [NHAI],0
Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka,National Highways Authority of India [NHAI],619117,1021.57,697.83,97.8,24.0,109.0,15.0,Karnataka,National Highways Authority of India [NHAI],1
Nidagatta-Mysore Pkg II,National Highways Authority of India [NHAI],619120,2919.8,2279.05,99.19,30.0,76.0,22.0,Karnataka,National Highways Authority of India [NHAI],1
4L of Hubli - Hospet Section of NH-63 from Km 128.850 to Km 272.571,National Highways Authority of India [NHAI],619121,2531.99,1360.9,99.65,36.0,109.0,8.0,Karnataka,National Highways Authority of India [NHAI],1
Yekkambi-Haveri,National Highways Authority of India [NHAI],619138,309.9,82.28,21.12,24.0,49.0,6.0,Karnataka,National Highways Authority of India [NHAI],0
Hospet - Chitradurga from km. 299.00 to km. 418.750,National Highways Authority of India [NHAI],619144,1519.72,36.36,100.0,30.0,122.0,11.0,Karnataka,National Highways Authority of India [NHAI],0
BRT Tiger Reserve Boundary Km.287.500 to Bangalore Section Km.458.420 of NH- 209 in Karnataka,National Highways Authority of India [NHAI],619150,2082.69,730.43,99.7,24.0,104.0,16.0,Karnataka,National Highways Authority of India [NHAI],1
Belgaum-Khanapur Pkg I Km 0.000-Km 30.800 of NH-4A,National Highways Authority of India [NHAI],619164,1214.3,497.43,72.77,30.0,85.0,12.0,Karnataka,National Highways Authority of India [NHAI],0
6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 97.000 to Km. 162.500 in Yadgir of NH-150C Pkg-III,National Highways Authority of India [NHAI],619211,2104.7,779.81,73.9,30.0,36.0,13.0,Karnataka,National Highways Authority of India [NHAI],0
4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli - Hassan section,National Highways Authority of India [NHAI],619214,688.0,586.06,82.34,24.0,63.0,9.0,Karnataka,National Highways Authority of India [NHAI],0
4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km. 12.300 to Km. 65.195,National Highways Authority of India [NHAI],619218,1364.14,552.09,100.0,24.0,78.0,20.0,Karnataka,National Highways Authority of India [NHAI],1
4L of Tumkur-Shimoga Pkg-II from Km 65.195 Karadi to Km 121.900 Banawara of NH-206,National Highways Authority of India [NHAI],619219,1505.85,656.52,99.97,24.0,78.0,20.0,Karnataka,National Highways Authority of India [NHAI],1
Tumkur-Shimoga Pkg-III from Km 121.900 Banawara to Km 170.415 Bettadahalli of Old NH-206,National Highways Authority of India [NHAI],619220,1444.5,890.55,97.3,24.0,61.0,37.0,Karnataka,National Highways Authority of India [NHAI],1
Widening to 2 Lanes with paved shoulders from Km.87/000 to 133/720 Nattukal to Thanau Jn. in Palakkad of NH-966 Old NH-213 on EPC mode Basis under NHO Annual Plan 2016-17 in the state of Kerala,MoRTH,618070,294.28,0.0,98.0,24.0,104.0,6.0,Kerala,MoRTH,1
6L of Chengala - Neeleshwaram from km. 56.200 to km. 93.468,National Highways Authority of India [NHAI],618595,1746.45,943.25,90.18,30.0,54.0,16.0,Kerala,National Highways Authority of India [NHAI],1
6L of Taliparamba to Muzhappilangad from Km 134.650 to Km 170.6 of NH-66,National Highways Authority of India [NHAI],618596,2714.6,1040.02,82.87,30.0,53.0,15.0,Kerala,National Highways Authority of India [NHAI],1
6L of Azhiyur-Vengalam from km. 189.200 to km. 230.400 of NH-66,National Highways Authority of India [NHAI],618597,3205.77,776.8,60.07,33.0,54.0,12.0,Kerala,National Highways Authority of India [NHAI],1
6L Minor Bridge Paloli Palam at km. 203.160 & Major Bridge Morad at km. 204.895 and allied works,National Highways Authority of India [NHAI],618598,210.0,77.9,100.0,18.0,64.0,9.0,Kerala,National Highways Authority of India [NHAI],1
6L of Ramanatukkara Junction to start of Valanchery bypass section of NH-66,National Highways Authority of India [NHAI],618599,4924.11,1815.81,99.75,30.0,51.0,12.0,Kerala,National Highways Authority of India [NHAI],0
6L of Valanchery bypass to Kappirikkad of NH 66 from km. 298500 to km 335850,National Highways Authority of India [NHAI],618600,4023.94,1497.69,98.84,30.0,51.0,11.0,Kerala,National Highways Authority of India [NHAI],0
6L of Kappirikkad to Thalikulam section from km 335.85 to km 369.015 of NH - 66 old NH-17,National Highways Authority of India [NHAI],618601,4225.59,708.02,88.2,28.0,43.0,15.0,Kerala,National Highways Authority of India [NHAI],0
6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old NH-17,National Highways Authority of India [NHAI],618602,4302.06,772.89,84.18,29.0,43.0,15.0,Kerala,National Highways Authority of India [NHAI],0
6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old NH-17,National Highways Authority of India [NHAI],618603,3465.82,768.14,64.93,30.0,42.0,11.0,Kerala,National Highways Authority of India [NHAI],1
Aroor-Thuravoor Thekku,National Highways Authority of India [NHAI],618604,2429.52,1760.92,83.93,35.0,38.0,6.0,Kerala,National Highways Authority of India [NHAI],0
Thuravoor Thekku-Paravoor,National Highways Authority of India [NHAI],618605,2878.97,2120.87,78.28,30.0,49.0,6.0,Kerala,National Highways Authority of India [NHAI],0
Paravoor-Kottankulangara,National Highways Authority of India [NHAI],618606,3273.61,1226.55,71.2,30.0,44.0,8.0,Kerala,National Highways Authority of India [NHAI],0
Kottankulangara- Start of Kollam Bypass,National Highways Authority of India [NHAI],618607,2842.14,895.86,73.89,30.0,48.0,10.0,Kerala,National Highways Authority of India [NHAI],1
Widening/Development of Existing NH-85 from Km 0.000 to Km 124.636 section to 2L/LPS section in the state of Kerala on EPC Mode under Bharatmala Pariyojana,National Highways Authority of India [NHAI],618708,1187.47,631.69,52.71,24.0,34.0,9.0,Kerala,National Highways Authority of India [NHAI],1
Kozhikode Bypass Calicut Bypass Vengalam Jn. to Ramanattukara Jn.,National Highways Authority of India [NHAI],619098,1424.77,1048.92,98.75,24.0,62.0,36.0,Kerala,National Highways Authority of India [NHAI],1
6L of Perole Nileshwar town to Taliparamba from Km 94.248 to Km 134.650 of NH-66,National Highways Authority of India [NHAI],619206,3041.65,1007.02,86.65,27.0,54.0,16.0,Kerala,National Highways Authority of India [NHAI],1
Start of Kollam Bypass - Kadambattukonam,National Highways Authority of India [NHAI],619207,2641.37,891.4,81.8,29.0,42.0,16.0,Kerala,National Highways Authority of India [NHAI],1
Kadambattukonam-Kazhakuttom,National Highways Authority of India [NHAI],619208,3635.64,573.31,44.34,30.0,45.0,7.0,Kerala,National Highways Authority of India [NHAI],0
Kargil Zanskar Road,NHIDCL,618408,398.37,282.19,90.59,18.0,57.0,4.0,Ladakh,NHIDCL,0
Widening & Up-gradation to 2 lane with Paved shoulder of NH-301 Kargil- Zanskar Road from Design km 57.000 Ex. Km. 57.905 to Km 87.000 Ex. Km. 88.2491 of 30.000 Km length Pkg-lll,NHIDCL,618409,381.01,221.62,82.74,18.0,57.0,4.0,Ladakh,NHIDCL,0
Widening & Up-gradation to 2 lane with paved shoulder of NH-301 Kargil- Zanskar Road from Design Km .30.040 Ex. Km. 30.000 to Design Km 57.000 Ex. Km. 57.905 of 26.960 Km length Pkg-II,NHIDCL,618410,404.89,321.28,75.38,18.0,57.0,4.0,Ladakh,NHIDCL,0
Construction of Rewa Bypass to 4-lane with paved shoulder along with service road from Ratahara Chowk to Chorhata Chowk Road section of NH-30 from km 00.000 to 19.200 in the State of Madhya Pradesh on Hybrid Annuity Mode HAM.,MoRTH,617909,648.05,0.0,50.0,24.0,14.0,11.0,Madhya Pradesh,MoRTH,0
Rehabilitation and upgradation Umaria to Shahdol section of NH-78 from Existing Km. 68/4 to Km. 142/2 to 2LPS including construction of Birshinghpur and Shahdol Bypass on EPC mode under NHDP-IVA,MoRTH,617911,511.83,0.0,94.5,23.0,128.0,5.0,Madhya Pradesh,MoRTH,1
Upgradation and reconstruction of Shahpura-Dindori Section of NH 45 from Km 103.700 Design to Km 164.580 Design including 3 bypasses Total length 60.88km to Two lane with paved shoulder configuration along with One time improvement in 03 nos of bypassed built-up areas in a total length of 12.341 km in the State of Madhya Pradesh on EPC mode,MoRTH,617914,241.23,0.0,29.09,23.0,27.0,22.0,Madhya Pradesh,MoRTH,1
Upgradation of Dindori-Sagartola-kabichabutra MP-CG border section of NH -45 from km 000Design to km 77.00 Design to Two lane with paved shoulder configration along with one time improvement in 04 nos. of bypaased built-up areas in a total length of 9.1 km in the state of Madhya Pradesh on EPC mode.,MoRTH,617915,329.14,0.0,93.68,24.0,31.0,20.0,Madhya Pradesh,MoRTH,0
Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in the State of Madhya Pradesh under EPC mode.,MoRTH,618019,365.21,0.0,88.0,24.0,35.0,14.0,Madhya Pradesh,MoRTH,0
"Rehabilitation & Upgradation of KurwaiMungaoliChanderi Road section of NH-346, from Design Chainge 0.000 to 81.300 Km Total length 83.1 km to Two lane with paved shoulder configuration along with One time improvement in 07 nos of bypassed built- up areas in a total length of 22.615 km in the state of Madhya Pradesh on EPC mode.",MoRTH,618020,386.49,164.43,64.71,24.0,38.0,11.0,Madhya Pradesh,MoRTH,0
Up-gradation of Pichhore- Dinara section of NH-346 from Km 292.750 to 334.550 to two lane with paved shoulders in the state of Madhya Pradesh on EPC mode,MoRTH,618021,425.97,0.0,19.31,18.0,4.0,22.0,Madhya Pradesh,MoRTH,0
Rehabilitation & Upgradation of existing intermediate lane to two Lane with paved shoulder from km. 0.600 Gulganj bypass on NH-34 to km. 43.00 Barna River length 42.400 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. in the state of Madhya Pradesh on EPCmode.,MoRTH,618035,275.4,0.0,53.0,18.0,17.0,20.0,Madhya Pradesh,MoRTH,0
Upgradation and reconstruction of existing intermediate lane to two Lane with paved shoulder configuration from km. 43.00 Barna River to km. 77.00 ken river length 34.00 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. along with One time improvement in 01 no. of bypassed built-up area in a total length of 1.585 km in the state of Madhya Pradesh on EPCmode.,MoRTH,618036,315.55,0.0,25.3,24.0,17.0,20.0,Madhya Pradesh,MoRTH,0
Upgradation and reconstruction of Dindori - Mandla Section of NH 543 from Km 77100 Design to Km 170580 Design Total length 93.48km to Two lane with paved shoulder configuration along with One time improvement in 04 nos of bypassed built-up areas in a total length of 7.23 km in the state of Madhya Pradesh on EPC mode,MoRTH,618043,492.12,0.0,87.5,30.0,27.0,22.0,Madhya Pradesh,MoRTH,1
Upgradation of Shahdol- Sagartola Section of NH 543 from km 0000 to km 69400 to 2 lane with paved shoulders under Hybrid Annuity Mode HAM in the State of Madhya Pradesh,MoRTH,618044,851.4,0.0,0.0,24.0,1.0,25.0,Madhya Pradesh,MoRTH,0
"Construction of Mihona bypass, Lahar bypass, Daboh bypass & Bhander Bypass total length 20.60 km to 2-lane with paved shoulder from on Mihona-Bhander-MP/UP border section of NH 552E in the State of Madhya Pradesh on EPC mode",MoRTH,618045,179.18,71.77,67.0,18.0,34.0,15.0,Madhya Pradesh,MoRTH,0
"Construction of Kaithi-Padaria Kala bypass, Patna-Tamoli bypass, Jaso bypass and Nagod bypass total length 15.44 Km to 2-lane with paved shoulders flexible pavement on NH-943 in the State of Madhya Pradesh on EPC Mode.",MoRTH,618068,158.36,0.0,60.0,24.0,30.0,19.0,Madhya Pradesh,MoRTH,0
Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,MoRTH,618085,305.12,0.0,78.0,18.0,36.0,16.0,Madhya Pradesh,MoRTH,0
"Construction of Kasrawad bypass, Selani bypass, Khargone bypass & Bistan bypass Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.",MoRTH,618129,467.93,0.0,86.03,24.0,16.0,21.0,Madhya Pradesh,MoRTH,0
"Construction of Morena bypass, Ambah bypass & Porsa bypass Totat length 27.16 km Section of NH-552 Ext. to TWo lane with paved shoulder configuration in the state of Madhya Pradesh on EPC mode",MoRTH,618156,492.66,0.0,69.25,24.0,18.0,20.0,Madhya Pradesh,MoRTH,0
