rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
384,Umagaon-Saharsa Package-V Bakaur-Parsarma-Bangaon-Bariyahi & Spur to Mahishi,NHAI,619166,Bihar,NHAI,768.35,410.55,99.4,28.0,70.90183,70.90183,CRITICAL
385,Satna-Rewa Railway Line Doubling Project,West Central Railway [WCR] - II,705659,Madhya Pradesh,West Central Railway [WCR] - II,500.0,566.56,86.0,104.0,70.84837,70.84837,CRITICAL
386,Simaria Km. 206.050 to Khagaria Km. 266.282,National Highways Authority of India [NHAI],618840,Bihar,National Highways Authority of India [NHAI],664.02,351.77,97.67,114.0,70.711296,70.711296,CRITICAL
387,Dibang Multipurpose Project,National Hydroelectric Power Corporation Limited [NHPC],602182,Arunachal Pradesh,National Hydroelectric Power Corporation Limited [NHPC],31876.39,4593.04,17.43,38.0,70.53771,70.53771,CRITICAL
388,Rehabilitation and upgradation Umaria to Shahdol section of NH-78 from Existing Km. 68/4 to Km. 142/2 to 2LPS including construction of Birshinghpur and Shahdol Bypass on EPC mode under NHDP-IVA,MoRTH,617911,Madhya Pradesh,MoRTH,511.83,0.0,94.5,128.0,70.39595,70.39595,CRITICAL
389,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XIV from Junction with Pathankot- Gurdaspur road NH-54 near Balsua to Junction with Hiranagar Road near village Gurha Baildaran km 423500 to km 468100,National Highways Authority of India [NHAI],619066,"Multi-States
(Jammu and
Kashmir, Punjab)",National Highways Authority of India [NHAI],3044.02,1551.33,83.6,43.0,70.365364,70.365364,CRITICAL
390,4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada from V. Venkatayapalem village at Design Ch. 220.480 Km to BrahmanapalliK village at Design Ch. 250.400 Km Package-I.,National Highways Authority of India [NHAI],618817,Telangana,National Highways Authority of India [NHAI],973.45,227.62,42.15,13.0,70.35428,70.35428,CRITICAL
391,Redevelopment of Linch Field,Oil and Natural Gas Corporation Limited [ONGC],400169,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],631.03,612.97,90.0,60.0,70.21415,70.21415,CRITICAL
392,"Andheri Residential Towers, Mumbai",Ministry of Petroleum & Natural Gas,604833,Maharashtra,Ministry of Petroleum & Natural Gas,281.35,270.49,79.5,106.0,69.95925,69.95925,HIGH
393,Sanchore - Santalpur from km 67.000 - km 99.000 of NH-754K AJ-RGBS-Package-3,National Highways Authority of India [NHAI],618614,Gujarat,National Highways Authority of India [NHAI],752.3,569.43,99.0,56.0,69.93457,69.93457,HIGH
394,4L Greenfield spur from Delhi-Vadodara Greenfield expressway near Bandikui to Jaipur,National Highways Authority of India [NHAI],619063,Rajasthan,National Highways Authority of India [NHAI],1636.15,1205.29,100.0,41.0,69.84317,69.84317,HIGH
395,Kante - Wakad section of NH-66 4L PS from Km.281/300 to 332/200,MoRTH,617948,Maharashtra,MoRTH,1117.75,287.96,90.14,101.0,69.74805,69.74805,HIGH
396,Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,NHIDCL,618426,Sikkim,NHIDCL,264.84,0.0,85.15,39.0,69.37036,69.37036,HIGH
397,4L Mitigation Measure structures on CH/MH Border to Wainganga Bridge Section of NH-6 New NH-53,National Highways Authority of India [NHAI],618588,Maharashtra,National Highways Authority of India [NHAI],540.24,464.26,99.79,53.0,69.2623,69.2623,HIGH
398,6L Greenfield Kanpur - Lucknow Expressway Pkg II from km. 28.500 to km. 73.744,National Highways Authority of India [NHAI],618498,Uttar Pradesh,National Highways Authority of India [NHAI],2471.56,1178.84,99.8,41.0,68.771225,68.771225,HIGH
399,Construction of four laning of Bakarpur- Manikpur road section starting from village Chitarsenpur km 0000 and terminating at SH-74 near Manikpur 38814 at NH-139W under Bharatmalapariyona,National Highways Authority of India [NHAI],618790,Bihar,National Highways Authority of India [NHAI],1422.37,273.52,41.0,18.0,68.68505,68.68505,HIGH
400,6L access control Greenfield highway of Vill-Khyawari to Vill-Latifpur at Saharanpur Bypass from Km. 82.000 to Km. 119.790 Pkg-4,National Highways Authority of India [NHAI],618968,Uttar Pradesh,National Highways Authority of India [NHAI],1428.19,1220.87,97.5,43.0,68.50061,68.50061,HIGH
401,Bangalore/TN border to Hoskote,National Highways Authority of India [NHAI],619072,Karnataka,National Highways Authority of India [NHAI],1181.68,799.84,94.72,38.0,68.380486,68.380486,HIGH
402,Arawali Kante section of NH-17New NH-66 4L PS from Km.241/300 to 281/300,MoRTH,617947,Maharashtra,MoRTH,1006.99,0.0,80.06,101.0,68.09457,68.09457,HIGH
403,4L PS from Mandlem Existing Km. 38.000/Design Km.30.600 to Atmakur Existing Km.73.000/Design Km 66.115 of NH340C Package2,National Highways Authority of India [NHAI],618919,Andhra Pradesh,National Highways Authority of India [NHAI],887.28,374.39,99.94,29.0,68.039,68.039,HIGH
404,"4 lanning of Aligarh Palwal section from km 0.00 to km 46.39 package -1 from khereshwar junction-kurana of NH33D , including khair & jattari bypass in the state of UP on HAM mode",National Highways Authority of India [NHAI],618690,Uttar Pradesh,National Highways Authority of India [NHAI],1663.38,534.65,15.75,13.0,68.035065,68.035065,HIGH
405,"Construction of 2-lane with Paved shoulder of Kohima-Bypass Road connecting NH- 39 New NH-02, NH150New NH-02, NH7-61 New NH-29 and NH-39 New NH-02 from Design km 21.000 to km 32.268 [Design length11.268 km] in the state of Nagaland Under SARDP-NE on EPC Mode Package- 3",NHIDCL,618291,Nagaland,NHIDCL,159.85,84.22,37.38,34.0,67.72484,67.72484,HIGH
406,Gadag-Wadi New Railway Line [257 km],South Western Railway [SWR] - II,705490,Karnataka,South Western Railway [SWR] - II,2842.0,1539.51,34.5,104.0,67.64337,67.64337,HIGH
407,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis",National Institute of Technology Delhi,612851,Delhi,National Institute of Technology Delhi,333.49,321.76,99.72,41.0,67.615166,67.615166,HIGH
408,Khammam-Devarapalle Pkg III [4L Access Controlled Greenfield from Chintagudem village to Recherla village Design Chainage 63117 to 105236],National Highways Authority of India [NHAI],618747,"Multi-States
(Andhra Pradesh,
Telangana)",National Highways Authority of India [NHAI],829.5,518.85,98.82,43.0,67.60343,67.60343,HIGH
409,4L PS Divided Carriageway from Patan Near Rajpur to Gojariya From Km 52.000 to Km 128.940 of NH-68,National Highways Authority of India [NHAI],618901,Gujarat,National Highways Authority of India [NHAI],1181.34,876.25,84.7,37.0,67.42554,67.42554,HIGH
410,Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,National Highways Authority of India [NHAI],618500,Uttar Pradesh,National Highways Authority of India [NHAI],1081.39,419.14,76.0,49.0,67.424255,67.424255,HIGH
411,Rehabilitation and upgradation of NH-221 from km 121/0 to 165/0 Rudrampur to Bhadrachalam section to two lane with paved shoulder under NHDPIV in the state of Telangana through EPC mode,MoRTH,619193,Telangana,MoRTH,295.47,375.14,82.76,134.0,67.3208,67.3208,HIGH
412,Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM],RVNL - II,400253,"Multi-States
(Andhra Pradesh,
Odisha)",RVNL - II,4803.0,6211.43,97.0,113.0,67.09834,67.09834,HIGH
413,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola",Employee's State Insurance Company [ESIC],612201,Assam,Employee's State Insurance Company [ESIC],143.23,130.08,98.0,54.0,66.90247,66.90247,HIGH
414,Establishment of new GMC Pithoragarh,"Medical Education, Ministry of Health and Family Welfare",707087,Uttarakhand,"Medical Education, Ministry of Health and Family Welfare",325.0,325.08,84.0,36.0,66.631386,66.631386,HIGH
415,4L Greenfield Alignment of Amas to Shivrampur from 0.000 Km. to 55.002 Km. of NH 119 D Pkg-I,National Highways Authority of India [NHAI],618739,Bihar,National Highways Authority of India [NHAI],1390.92,341.86,45.35,37.0,66.537796,66.537796,HIGH
416,Construction of Balance works of Major Bridge over Middle Strait Creek between Km.106.590 to km108.553 of NH-04 connecting South Andaman & Baratang Island in the Union Territory of Andaman & Nicobar Islands on EPC basis,NHIDCL,619186,"Andaman &
Nicobar",NHIDCL,262.96,0.0,12.64,23.0,66.42294,66.42294,HIGH
417,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,Hindustan Petroleum Corporation Limited,709752,Andhra Pradesh,Hindustan Petroleum Corporation Limited,160.0,135.52,91.6,55.0,66.38394,66.38394,HIGH
418,Rajasthan Refinery Project,MinistryofPetroleumNaturalGas,701263,Rajasthan,MinistryofPetroleumNaturalGas,43129.0,69202.21,91.9,102.0,65.905045,65.905045,HIGH
419,Haldia Panagarh Pipeline Project,Hindustan Petroleum Corporation Limited,709753,West Bengal,Hindustan Petroleum Corporation Limited,1010.0,846.32,95.0,41.0,65.85477,65.85477,HIGH
420,4L of Moradabad western side spur connecting NH-734 & NH-24 from Km. 0.000 to Km. 33.200 Pkg-I,National Highways Authority of India [NHAI],618929,Uttar Pradesh,National Highways Authority of India [NHAI],1841.92,982.74,76.9,31.0,65.38209,65.38209,HIGH
421,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2,Department of Telecommunications [DoT],701599,"Multi-States
(Andhra Pradesh,
Bihar,
Chhattisgarh,
Jharkhand,
Madhya Pradesh,
Maharashtra,
Odisha,
Telangana, Uttar
Pradesh, West
Bengal)",Department of Telecommunications [DoT],1577.57,701.66,88.0,55.0,65.24703,65.24703,HIGH
422,Amritsar Bypass Pkg III from km. 71.496 to km. 105.158,National Highways Authority of India [NHAI],618795,Punjab,National Highways Authority of India [NHAI],1474.77,866.12,81.05,44.0,64.828995,64.828995,HIGH
423,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K","Indian Institute of Management, Jammu",602098,"Jammu and
Kashmir","Indian Institute of Management, Jammu",424.93,484.52,96.0,66.0,64.665436,64.665436,HIGH
424,Rehablitation in Junavadaj Area Smart City Project,ministry of housing and urban affairs,701719,Gujarat,ministry of housing and urban affairs,539.0,599.76,98.5,118.0,64.52164,64.52164,HIGH
425,Development of Chiloda - Gandhinagar- Sarkhej ofNH-147 Package -II,MoRTH,617977,Gujarat,MoRTH,211.28,0.0,99.55,89.0,64.50398,64.50398,HIGH
426,Construction of four lane highway with paved shoulder from Km.74.700 to Km.112.950 of NH-731A i/c Yamuna Bridge on HAM in the state of Uttar Pradesh.,MoRTH,618164,Uttar Pradesh,MoRTH,1141.67,0.0,85.0,22.0,64.346985,64.346985,HIGH
427,Murkongselek-Pasighat,Northeast Frontier Railway [NFR] - II,705401,"Multi-States
(Arunachal
Pradesh, Assam)",Northeast Frontier Railway [NFR] - II,435.0,853.0,68.0,37.0,63.916283,63.916283,HIGH
428,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm,East Central Railway [ECR] - I,616699,"Multi-States
(Bihar, Jharkhand)",East Central Railway [ECR] - I,12333.57,816.82,17.5,32.0,63.772995,63.772995,HIGH
429,Green Building Development Project,ministry of housing and urban affairs,701766,Uttarakhand,ministry of housing and urban affairs,150.97,54.01,40.0,80.0,63.616096,63.616096,HIGH
430,6L access control Greenfield highway of Vill-Lohadda to Vill-Karaunda Mahajan from Km. 27.000 to Km. 56.500 Pkg-2,National Highways Authority of India [NHAI],618970,Uttar Pradesh,National Highways Authority of India [NHAI],1335.45,1016.38,92.89,43.0,63.267284,63.267284,HIGH
431,"Construction of 4/6 lane Highway of Southern Bareilly Bypass, starting at Ch. 237000 of NH 530 near Jhumka chauraha, Dhantiya village and ending at Ch. 267000 of NH 30 near Invertis University including Trumpet Interchange",National Highways Authority of India [NHAI],618869,Uttar Pradesh,National Highways Authority of India [NHAI],1122.02,129.68,10.21,4.0,62.766075,62.766075,HIGH
432,Ara - Mohania Pkg-II,National Highways Authority of India [NHAI],618774,Bihar,National Highways Authority of India [NHAI],984.63,798.12,100.0,63.0,62.760483,62.760483,HIGH
433,"Improvement and Up-gradation to two Lane with Paved Shoulder/Four Lane configuration from existing Km 130.000 to Km 191.000 design km 131.500 to Km 188.735, Design length 57.235 Km of NH-227A near Barhalganj to Mehrauna Ghat in the state of Uttar Pradesh on Hybrid Annuity Model HAM basis",MoRTH,618252,Uttar Pradesh,MoRTH,974.19,0.82,48.0,17.0,62.75397,62.75397,HIGH
434,CBR 9 MMTPA Project,Chennai Petroleum Corporation Limited [CPCL],604795,Tamil Nadu,Chennai Petroleum Corporation Limited [CPCL],31580.0,1570.83,10.2,55.0,62.523716,62.523716,HIGH
435,Jogbani-Biratnagar New Rail Line project,Indian Railway Construction International Limited [IRCON],705450,Bihar,Indian Railway Construction International Limited [IRCON],402.0,369.28,86.26,183.0,62.502605,62.502605,HIGH
436,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package IV from Km 14.185 to Km 20.593,National Highways Authority of India [NHAI],619045,Tamil Nadu,National Highways Authority of India [NHAI],1205.4,62.01,7.91,29.0,62.365692,62.365692,HIGH
437,AIIMS Kashmir at Awantipora Jammu & Kashmir,PMSSY AND Institute of NATIONAL Importance,701167,"Jammu and
Kashmir",PMSSY AND Institute of NATIONAL Importance,1828.0,1545.05,76.0,85.0,62.306797,62.306797,HIGH
438,Widening with additional 3L abetting Chhapra Bypass Section of NH-19 from Km. 143.200 to Km. 159.255 Pkg-1,National Highways Authority of India [NHAI],618905,Bihar,National Highways Authority of India [NHAI],470.5,243.02,68.87,20.0,62.04725,62.04725,HIGH
439,Conversion of Partially Excavated Escape Tunnel to Uni-Directional 2L Tunnelincluding construction of cross passages and approach roads on either side of the tunnel from Km 12.732 to Km 14.568 of Kiratpur to Nerchowk Section of NH-21,National Highways Authority of India [NHAI],618849,Chhattisgarh,National Highways Authority of India [NHAI],444.21,394.65,100.0,43.0,61.978104,61.978104,HIGH
440,"Construction of Bypass to Madurai Achambathu Viratipathu in between km 6/850 10/382 of NH 49 Extn New NH 85 including Land Acquisition on Engineering, Procurement & Construction EPC basis Contract under NH O Annual Plan 2021-22 in the state of Tamil Nadu job No.NH-49 Extn New NH 85 - TN-2021-22-997",MoRTH,617962,Tamil Nadu,MoRTH,238.97,119.33,93.0,19.0,61.705666,61.705666,HIGH
441,4L of Urga - Pathalgaon from Km. 70.200 to km. 157.745 of NH-130A,National Highways Authority of India [NHAI],618640,Chhattisgarh,National Highways Authority of India [NHAI],2261.3,939.34,72.77,26.0,61.516537,61.516537,HIGH
442,4L of Mehgama - Hansdiha from km. 41.900 to km. 93.000 of NH -133A Pkg-II,National Highways Authority of India [NHAI],618946,Jharkhand,National Highways Authority of India [NHAI],1479.72,878.2,99.5,35.0,61.46554,61.46554,HIGH
443,6L of Ambala-Chandigarh greenfield section from Km. 0.000 to Km. 25.000 with 4L spur to Lalru from Km. 0.000 to Km. 5.828 & spur to PR-7 road from Km. 0.000 to Km. 11.157,National Highways Authority of India [NHAI],619134,"Multi-States
(Haryana, Punjab)",National Highways Authority of India [NHAI],1641.66,552.95,80.65,30.0,61.167854,61.167854,HIGH
444,4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada from BrahmanapalliK village at Design Ch. 250.400 Km to Remidicherla village at Design Ch. 280.200 KmPackage-II,National Highways Authority of India [NHAI],619143,"Multi-States
(Andhra Pradesh,
Telangana)",National Highways Authority of India [NHAI],826.01,69.29,22.08,13.0,61.036556,61.036556,HIGH
445,"Construction of 2-Lane with paved shoulder of Kohima-Bypass Road connecting NH- 39New NH-02, NH-150New NH-02, NH-61New NH-29 and NH-39New NH-02 from design Km 0.00 to Km 10.500 in the State of Nagaland under SARDP-NE on EPC Mode Package-1 -Balance work",NHIDCL,618293,Nagaland,NHIDCL,232.29,12.48,25.61,29.0,61.01659,61.01659,HIGH
446,4L PS bijni to mandi section from Km 202.815 to Km 208.000 of NH-20 New NH-154 of Pathankot-Mandi Package-VB,National Highways Authority of India [NHAI],618881,Himachal Pradesh,National Highways Authority of India [NHAI],1113.02,335.79,27.8,13.0,60.99158,60.99158,HIGH
447,Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway,RVNL - II,706777,West Bengal,RVNL - II,2298.0,393.02,17.0,193.0,60.970295,60.970295,HIGH
448,Kashedi ghat tunnel NH-66 [Bhogaon Khurd - Kashedi section] 4 lanes under NHDP on EPC mode,MoRTH,617944,Maharashtra,MoRTH,680.43,0.0,98.37,90.0,60.95214,60.95214,HIGH
449,Delhi-Amritsar-Katra Expressway Phase-I Pkg-X from Jn. with Jalandhar - Moga road NH-703 to Jn. with Jalandhar-Kapurthala road NH-703A and to Jn. with Kapurthala - Sultanpur Lodhi road NH-703A km 000 to km 24000 to Amritsar connectivity,National Highways Authority of India [NHAI],618490,Punjab,National Highways Authority of India [NHAI],2177.54,1004.28,62.99,45.0,60.94708,60.94708,HIGH
450,"Improvement and Up-Gradation of Existing Road to 4L PS from Km 123.650 to 175.080, from Start of Shahabad Bypass to End of Hardoi bypass of NH 731 Pkg-2B",National Highways Authority of India [NHAI],618856,Uttar Pradesh,National Highways Authority of India [NHAI],1101.79,346.55,63.51,29.0,60.596443,60.596443,HIGH
451,ALL India Institute of Medical Sciences-AIIMS Madurai,PMSSY AND Institute of NATIONAL Importance,701168,Tamil Nadu,PMSSY AND Institute of NATIONAL Importance,1264.0,485.02,48.0,88.0,60.532814,60.532814,HIGH
452,"Construction of four-lane elevated viaduct from km.4634 to km.6345 on NH-24A including Retaining wall, service lane, at grade road and improvement of junctions, on EPC mode",MoRTH,618008,Uttar Pradesh,MoRTH,185.09,175.09,100.0,49.0,60.44659,60.44659,HIGH
